	African	CelticEnglish	EastAsian	European	Greek	Hispanic	Jewish	Muslim	Nordic	SouthAsian
Bruce Buchanan	0.027023122	0.68622816	0.11550616	0.017366072	0.00022889239	0.0127698835	0.00072505337	0.004741196	0.0008567873	0.1345547
Richard Roberts	0.02865183	0.94304883	0.0025309226	0.016763832	0.0017468879	0.002101563	0.00037820358	0.0019051844	0.0009221282	0.0019505569
John Sulton	0.007178341	0.9709443	0.0017459287	0.005313946	0.00046044562	0.0024929396	1.6061125e-05	0.0017882171	0.0032380736	0.0068218918
Doug Brutlag	0.0036175416	0.97911876	0.00091215735	0.005118611	0.00051353325	0.0020936017	8.650924e-05	0.0010757593	0.005532749	0.0019307765
Russell Doolittle	0.006144144	0.9803359	0.0027703801	0.007336874	0.0002199179	0.00070363795	0.00011660888	0.0010555958	8.9343535e-05	0.0012275749
Robert Waterston	0.020615978	0.9576022	0.0017750148	0.01471158	0.00022945975	0.0007461736	5.796795e-05	0.0011034411	0.0011914545	0.0019667898
Fotis C. Kafatos	0.00042102658	0.0014790583	6.996654e-05	0.00084324	0.99636465	5.587851e-05	6.048725e-06	0.0003208914	0.00040744763	3.1738484e-05
Richard Lathrop	0.045817997	0.40329272	0.05353499	0.24368602	0.011011404	0.007461113	0.0006144414	0.017634455	0.0035131075	0.21343386
Marcie McClure	0.06150134	0.009464187	0.0017021552	0.08833858	0.0008473531	0.83512837	0.00014212026	0.0016894101	0.00020963991	0.0009767611
Hans V. Westerhoff	0.009616288	0.0014088852	0.0010081744	0.651457	0.00032467028	0.007894539	0.00035223458	0.0008519372	0.32602704	0.0010592745
Robert Cedergren	0.00017618896	0.00078071887	0.00044271984	0.0032845205	8.216134e-06	0.00017716995	6.0915036e-06	2.057754e-05	0.99499327	0.000110532914
Manfred Eigen	0.00043140695	0.00012233562	0.00088591373	0.9965167	1.15655e-05	0.00034186695	7.577415e-06	0.0009611419	0.00069988775	2.1520478e-05
Richard M. Karp	0.055846527	0.6072939	0.02998897	0.18945687	0.0029839429	0.009308811	0.014889454	0.049405567	0.01718861	0.02363744
Anthony R. Kerlavage	0.0074461317	0.6262488	0.0014938911	0.35760957	8.928436e-05	0.0010680998	0.0010519812	0.00019545047	0.0019609227	0.00283597
Eugene V. Koonin	0.005963046	0.024045203	0.059930995	0.7671665	0.0009530965	0.09809491	0.0037921902	0.015044977	0.0207619	0.0042472016
Robert J. Lipshutz	0.05010154	0.049280085	0.01738386	0.67803854	0.009097643	0.017012767	0.13611935	0.012786463	0.02624838	0.0039313105
Matthias Mann	0.0016788387	0.005010665	0.00042246975	0.98683167	0.00041853933	0.0015418692	8.716119e-05	0.0003035779	0.0035125127	0.00019262386
Michael J. E. Sternberg	0.024269126	0.18083985	0.013623247	0.1203259	0.0033476597	0.015636668	0.018195115	0.003809565	0.6098272	0.010125649
Gerald M. Edelman	0.021141347	0.15327652	0.009329987	0.6353916	0.0011208259	0.062374767	0.07935013	0.011804178	0.013270941	0.012939761
J. Andrew McCammon	0.028861718	0.9193444	0.006874266	0.008923543	0.0014571556	0.0094097955	0.00090956176	0.00640877	0.0013400788	0.01647068
Eugene Myers	0.02110747	0.8636266	0.0041454053	0.080555774	0.0012215406	0.013723764	0.001089517	0.002902478	0.0042628176	0.007364628
David B. Searls	0.10395007	0.81319773	0.011863571	0.034484603	0.000523268	0.012734632	0.0016642117	0.0008271282	0.008648341	0.01210648
Harold A. Scheraga	0.017789943	0.009595014	0.022344006	0.61645025	0.0003467445	0.27540416	0.0009364248	0.0036118685	0.004160916	0.04936066
Christopher M. Dobson	0.01107112	0.9589831	0.0036941182	0.007910385	0.00121584	0.0037625853	0.00012596438	0.0026456525	0.0051096645	0.005481514
Gunnar von Jeijne	1.3758388e-06	6.0464874e-05	2.9388466e-05	0.9981798	4.096214e-06	4.767301e-06	1.6097103e-05	0.000453654	0.0012496657	8.1543357e-07
Sean Eddy	0.044339135	0.8527909	0.0070073837	0.032132115	0.00039633067	0.0055489936	0.028022619	0.0058071013	0.0025852905	0.021370066
Bernardo Huberman	0.0062566097	0.015387582	0.0019156383	0.28136095	0.0008230513	0.6805565	0.0036169132	0.001751668	0.0026776674	0.0056533995
Chris Burge	0.1252323	0.5996672	0.022409946	0.11254271	0.0020702006	0.0464491	0.0012525335	0.009505017	0.009443391	0.07142751
Stephen Altschul	0.010106442	0.23068245	0.0067036324	0.70754457	0.002836659	0.0035304173	0.011908253	0.012847458	0.0016478122	0.012192259
Ford Doolittle	0.0053480957	0.9681971	0.0015699982	0.02036832	0.00045957873	0.0008417182	0.00013099854	0.00057668117	0.0011588287	0.0013486531
David Baker	0.01154401	0.9370462	0.0035318064	0.028125208	0.00044701665	0.0045486772	0.00570776	0.0030779238	0.002677385	0.0032940297
John Reinitz	0.039071	0.1307406	0.0058903084	0.61546856	0.0009498301	0.022747463	0.0036137216	0.0008319426	0.17019711	0.01048945
Isidore Rigoutsos	0.009252322	0.0015372836	8.453935e-05	0.006988206	0.97975206	0.001301552	5.056049e-05	0.00054734555	0.00047084142	1.5225336e-05
Sydney Brenner	0.18566301	0.16425216	0.003533249	0.61598456	0.00033639534	0.0050793793	0.00022291615	0.0045233327	0.012110842	0.008294086
Yoshihide Hayashizaki	0.0002014903	0.0006063601	0.9973525	0.00020650846	0.00042568473	0.00019438898	5.557477e-06	0.0008048206	0.000114666094	8.804743e-05
W. James Kent	0.008934774	0.98396057	0.0025400533	0.0010950007	0.00016897732	0.0012334904	6.208093e-05	0.0005156506	0.00024575295	0.0012437091
John Mattick	0.016816217	0.9445691	0.0031158682	0.01396695	0.000454734	0.0030608503	0.00053509756	0.0024991368	0.002228691	0.012753342
Uri Alon	8.572523e-05	0.000110515684	9.08955e-05	0.00012018476	2.6116884e-05	3.6369034e-05	0.99742115	0.00023806049	2.8180868e-05	0.0018428875
